Time,UnixTime,Ibi
14.5140397548676,1631601376.17622,0.6094031
15.1390697956085,1631601376.80125,0.6250291
15.7797298431396,1631601377.44191,0.6406546
16.4203798770905,1631601378.08256,0.6406548
17.1235399246216,1631601378.78572,0.7031574
17.7016897201538,1631601379.36387,0.5781517
18.3423497676849,1631601380.00453,0.6406548
409.501089811325,1631601771.16327,0.4687717
412.813739776611,1631601774.47592,0.453146
437.142989873886,1631601798.80517,0.5156488
446.049649715424,1631601807.71183,0.4843974
446.612179756165,1631601808.27436,0.562526
498.28644990921,1631601859.94863,0.4375203
498.833349704742,1631601860.49553,0.5469003
546.382429838181,1631601908.04461,0.5469005
546.898069858551,1631601908.56025,0.5156488
547.429349899292,1631601909.09153,0.5312746
547.944999933243,1631601909.60718,0.5156488
548.476269721985,1631601910.13845,0.5312746
548.976299762726,1631601910.63848,0.5000231
595.962849855423,1631601957.62503,0.4843974
596.478499889374,1631601958.14068,0.5156488
608.338419914246,1631601970.0006,0.5156491
608.822819709778,1631601970.485,0.4843974
609.854109764099,1631601971.51629,0.5469003
610.27600979805,1631601971.93819,0.4218945
610.822909832001,1631601972.48509,0.5469003
611.276059865952,1631601972.93824,0.453146
611.744829893112,1631601973.40701,0.4687717
630.261309862137,1631601991.92349,0.5156488
630.792579889297,1631601992.45476,0.5312746
631.276979923248,1631601992.93916,0.4843974
631.808259725571,1631601993.47044,0.5312748
632.323909759521,1631601993.98609,0.5156488
632.823929786682,1631601994.48611,0.5000231
633.323949813843,1631601994.98613,0.5000231
633.855229854584,1631601995.51741,0.5312746
634.402129888535,1631601996.06431,0.5469003
663.356589794159,1631602025.01877,0.5156488
663.77848982811,1631602025.44067,0.4218945
664.24725985527,1631602025.90944,0.4687717
665.184799909592,1631602026.84698,0.4218945
